;scenario;forwarders;bandwidth;clients;processes
1;C;0;236.2813;8;64
2;H;0;259.80866101621;16;16
3;D;0;1026.27985552723;16;128
4;E;0;252.923400595833;16;128
5;G;0;255.938866304106;32;64
6;A;0;195.762;32;128
7;B;0;231.808;64;512
8;F;0;281.706630827086;64;512
9;I;0;241.314;64;512
10;C;1;155.0178;8;64
11;H;1;90.3663750558977;16;16
12;D;1;268.415688953021;16;128
13;E;1;289.038972326128;16;128
14;G;1;77.897810239033;32;64
15;A;1;77.6;32;128
16;B;1;597.232;64;512
17;F;1;285.248222966061;64;512
18;I;1;51.772;64;512
19;C;2;262.6918;8;64
20;H;2;88.0270919915137;16;16
21;D;2;363.539469282712;16;128
22;E;2;400.051094791893;16;128
23;G;2;92.0376954368022;32;64
24;A;2;75.432;32;128
25;B;2;594.226;64;512
26;F;2;411.984370355086;64;512
27;I;2;48.174;64;512
28;C;4;3646.222;8;64
29;H;4;278.878724586957;16;16
30;D;4;2146.8259108978;16;128
31;E;4;2225.02499266238;16;128
32;G;4;303.74243619217;32;64
33;A;4;388.066;32;128
34;B;4;700.498;64;512
35;F;4;750.555947959246;64;512
36;I;4;151.824;64;512
37;C;8;4925.548;8;64
38;H;8;290.186876260134;16;16
39;D;8;5089.95313332705;16;128
40;E;8;5624.4870589169;16;128
41;G;8;300.776690248504;32;64
42;A;8;366.048;32;128
43;B;8;712.962;64;512
44;F;8;2641.64551924203;64;512
45;I;8;151.23;64;512
